ID,Citation,Country,Name,Longitude,Latitude,Protection_level,Size
WV00,"White et al., 2000",Philippines,Apo  Island Marine Sanctuary,123.2667,9.1167,Multi-use area,1
VT22,"Visintin et al., 2022",Italy,Porto Cesareo Marine Protected Area,17.873,40.257,Multi-use area,166.54
RGB09,"Reid-Grant & Bhat, 2009",Jamaica,Montego Bay Marine Park,-77.95,18.473,Multi-use area,15.3
RCN15,"Roja-Nazar et al., 2015",New Zealand,Taputeranga Marine Reserve,174.76,-41.29,Fully protected area,8.54
RCN15,"Roja-Nazar et al., 2015",New Zealand,Kapiti Marine Reserve,174.9766,-40.8897,Fully protected area,21.67
RCN15,"Roja-Nazar et al., 2015",New Zealand,Tonga Island Marine Reserve,173.0233,-40.8193,Fully protected area,18.35
RCN15,"Roja-Nazar et al., 2015",New Zealand,Te Tapuwae o Rongokako Marine Reserve,177.9175,-39.9125,Fully protected area,24.52
RCN15,"Roja-Nazar et al., 2015",New Zealand,Tapuae Marine Reserve,171.428,-43.784,Fully protected area,14.04
PB18,"Pascal et al., 2018",Saint Martin,Saint Martin Natural Reserve,-63.08,18.0695,Fully protected area,28
PB18,"Pascal et al., 2018",Vanuatu,"Emua, Worasifiu, Laonamoa, Piliura, Unakap",167.747,-15.419,Multi-use area,0.75
MSZ11,"McCrea-Strub et al., 2011",Philippines,Bibilik MPA,124.6763,12.649,Fully protected area,0.2
MSZ11,"McCrea-Strub et al., 2012",Philippines,Talisay MPA,123.9336,10.3055,Multi-use area,0.3
MSZ11,"McCrea-Strub et al., 2013",Tanzania,CHICOP,39.183056,-6.2775,Fully protected area,0.5
MSZ11,"McCrea-Strub et al., 2014",Philippines,Villahermosa MS,121.1136,12.423,Multi-use area,0.7
MSZ11,"McCrea-Strub et al., 2015",Philippines,Tambunan MPA,125.1712,7.6516,Fully protected area,1
MSZ11,"McCrea-Strub et al., 2016",Philippines,MISSTA MPA,123.7556,12.9815,Fully protected area,1.6
MSZ11,"McCrea-Strub et al., 2017",Philippines,Pilar MPA,124.072,9.9116,Fully protected area,1.8
MSZ11,"McCrea-Strub et al., 2018",Netherland Antilles,Saba MP,-63.225,17.63,Multi-use area,8.7
MSZ11,"McCrea-Strub et al., 2019",Netherland Antilles,Bonaire NMP,-68.28,12.1717,Multi-use area,27
MSZ11,"McCrea-Strub et al., 2020",Vietnam,Nha Trang Bay MPA,109.1913,12.2472,Multi-use area,250
MSZ11,"McCrea-Strub et al., 2021",Colombia,Seaflower MPA,-81,12,Multi-use area,65018
MSZ11,"McCrea-Strub et al., 2022",USA,Mariana Trench MNM,148,18,Multi-use area,246608
MSZ11,"McCrea-Strub et al., 2023",USA,PMNM,-159,25.7,Fully protected area,362100
"BA11, H13","Ban et al., 2011; Hunt, 2013",Australia,Coral Sea Marine Park,151.4,-17.3,Multi-use area,990000
HF10,"Haisfield et al., 2010",Indonesia,Komodo National Park,119.4515,-8.546,Multi-use area,1817
"L24, A96","Libecap, 2024",Australia,Great Barrier Reef Marine Reserve,147.485962,-18.15629,Multi-use area,34440
GL14,"Gustavsson et al., 2014",Tanzania,Mnemba-Chwaka Bay Marine Conservation Area (MIMCA),39,-5.5,Multi-use area,337.3
GF13,"Gleason et al., 2013",USA,Marine Life Protection Act (MLPA) in California,-120,33.9833,Multi-use area,2197
SK23,"Suparyana et al., 2023",Indonesia,Ujung Kulon National Park,105.3751,-6.7847,Multi-use area,44.337
P20,"Pantzar, 2020",Sweden,Kosterhavet marine national park,11.0167,58.8333,Multi-use area,389
AV23,"Arcas, Valle & Forcada, 2023",Spain,Tabarca Marine Reserve,-0.468,38.1643,Multi-use area,14
GA13,"Gelcich et al.,2013",Chile,Lafken Mapu Lahual MPA,-73.8,-40.7167,Multi-use area,44.63
KVB10,"Khanh & van Beukering, 2010",Vietnam,Hon Mun MPA,109.2,12.1,Multi-use area,160
TT08,"Teh et al., 2008",Malaysia,Sugud Island Marine Conservation Area (SIMCA),118,8.9,Fully protected area,467
"TT08,TD04","Teh et al., 2008",Philippines,Tubbataha Reef National MP,119.9292,9.1583,Fully protected area,96.828
TT08,"Teh et al., 2008",Indonesia,Bunaken National MP,125.7,1.6,Multi-use area,89.095
BB20,"Bostedt et al., 2020",Sweden,Storjungfrun-Kalvhararna,18.5,60.5,Fully protected area,4129
CD23,"Castuciano et al., 2023",Philippines,San Jose de Buenavista MPA,121.9264,10.7583,Fully protected area,0.672
WR03,"White et al., 2003",Philippines,Olango Island,123.545,10.189,Multi-use area,40
WR03,"White et al., 2003",Philippines,Gilutongan Island,123.988,10.2065,Multi-use area,0.15
CLS11,"Casiwan-Launio et al., 2011",Philippines,San Miguel Island fishery reserve,123.80778,13.37528,Multi-use area,2.25
E14,"Edwards, 2014",St Vincent & the Granadines,South Coast Marine Conservation Area,-61.22,13.1,Multi-use area,3.2698
MA20,"Mokhtar et al., 2020",Malaysia,Palau Rendang MPA,103.015,5.7,Multi-use area,24.8358
M07,"Mizna, 2007",Maldives,Dhigali Haa,73.03,5.15,Multi-use area,1.25
