ID,MPA_name,Country ,Cost_class,Cost_type,Size,Protection_level,Tcost,Cost_km,GDP_pc,,,,,,,,,,,
VT22,Porto Cesareo Marine Protected Area,Italy,Maintenance,pa,166.54,Partially protected,"546,590.00",3282,40226.04724,,,,,,,,,,,
RNC15,Taputeranga marine reserve,New Zealand,Maintenance,pa,8.54,Fully protected,"96,106.00",11253.6,48747.01369,,,,,,,,,,,
RNC15,Te Tapuwae o Rongokako marine,New Zealand,Maintenance,pa,24.52,Fully protected,"73,462.67",2996,48747.01369,,,,,,,,,,,
RNC15,Kapiti marine reserve,New Zealand,Maintenance,pa,21.67,Fully protected,"58,756.00",2711.4,48747.01369,,,,,,,,,,,
RNC15,Tonga Island marine reserve,New Zealand,Maintenance,pa,18.35,Fully protected,"70,354.67",3834,48747.01369,,,,,,,,,,,
RNC15,Tapuae marine reserve,New Zealand,Maintenance,pa,14.04,Fully protected,"50,840.67",3621.1,48747.01369,,,,,,,,,,,
RGB09,Montego Bay Marine Park,Jamaica,Maintenance,pa,15.3,Partially protected,"178,087.00",11639.7,7019.746348,,,,,,,,,,,
WV00,Apo Island Marine Sanctuary,Philippines,Maintenance,pa,1,Partially protected,"15,242.00",15242,3984.831539,,,,,,,,,,,
SK23,Ujung Kulon National Park,Indonesia,Management,pa,44.337,Partially protected,"23,820.00",537.2,4925.430488,,,,,,,,,,,
SK23,Ujung Kulon National Park,Indonesia,Administration,pa,44.337,Partially protected,"61,408.00",1385,4925.430488,,,,,,,,,,,
SK23,Ujung Kulon Natinoal Park,Indonesia,Enforcement,pa,44.337,Partially protected,"50,662.00",1142.7,4925.430488,,,,,,,,,,,
SK23,Ujung Kulon Natinoal Park,Indonesia,Administration,pa,44.337,Partially protected,"46,691.00",1053.1,4925.430488,,,,,,,,,,,
P20,Kosterhavet marine national park,Sweden,Maintenance,pa,389,Partially protected,"2,055,381.00",5283.8,57723.2345,,,,,,,,,,,
XS17,Nha Trang Bay Marine Protected Area,Vietnam,Management,pa,250,Partially protected,"195,129.00",780.5,4717.290287,,,,,,,,,,,
AV23,Tabarca Marine Reserve,Spain,Maintenance,pa,14,Partially protected,"281,274.00",20091,35297.0095,,,,,,,,,,,
PB18,"Emua, Worasifiu, Laonamoa, Piliura, Unakap",Vanuatu ,Maintenance,pa,0.75,Partially protected,"25,544.00",33083,3542.810716,,,,,,,,,,,
PB18,Saint Martin Natural Reserve,Saint Martin (French Part),Maintenance,pa,28,Fully protected,"16,318.00",21134,"21,668.40",,,,,,,,,,,
H13,Coral Sea Marine Park,Australia,Management,pa,990000,Partially protected,"18,714,661.00",18.90369798,"64,407.48",,,,,,,,,,,
HF10,Komodo National Park,Indonesia,Enforcement,pa,1817,Partially protected,"285,832.00",157.3098514,4925.430488,,,,,,,,,,,
HF10,Komodo National Park,Indonesia,Enforcement,pa,1817,Partially protected,"357,780.00",196.9069895,4925.430488,,,,,,,,,,,
GA13,Lafken Mapu Lahual MPA,Chile,Maintenance,pa,44.63,Partially protected,"524,629.00",14317.21,16709.8894,,,,,,,,,,,
KVB10,Hon Mun MPA,Vietnam,Maintenance,pa,160,Partially protected,"454,893.00",2941.138,4717.290287,,,,,,,,,,,
TT08,Sugud Island Marine Conservation Area (SIMCA),Malaysia,Maintenance,pa,467,Fully protected,"67,300.00",192.4989,11867.25864,,,,,,,,,,,
TT08,Tubbataha Reef National MP,Philippines,Maintenance,pa,96.828,Fully protected,"589,940.00",7108.202,3984.831539,,,,,,,,,,,
TT08,Great Barrier Reef MP,Australia,Maintenance,pa,34440,Partially protected,"54,088,119.00",2024.443,"64,407.48",,,,,,,,,,,
TT08,Bunaken National MP,Indonesia,Maintenance,pa,89.095,Partially protected,"197,131.00",2581.402,4925.430488,,,,,,,,,,,
TD04,Tubbataha Reef National Marine Park (TRNMP),Philippines,Maintenance,pa,96.828,Fully protected,"215,310.00",2223.63366,3984.831539,,,,,,,,,,,
TD04,Tubbataha Reef National Marine Park (TRNMP),Philippines,Administration,pa,96.828,Fully protected,"44,934.00",464.0599826,3984.831539,,,,,,,,,,,
TD04,Tubbataha Reef National Marine Park (TRNMP),Philippines,Enforcement,pa,96.828,Fully protected,"102,974.00",1063.473375,3984.831539,,,,,,,,,,,
TD04,Tubbataha Reef National Marine Park (TRNMP),Philippines,Management,pa,96.828,Fully protected,"37,445.00",386.7166522,3984.831539,,,,,,,,,,,
BB20,Storjungfrun-Kalvhararna,Sweden,Enforcement,pa,4129,Fully protected,"15,568.00",3.770404456,57723.235,,,,,,,,,,,
CD23,San Jose de Buenavista MPA,Philippines,Maintenance,pa,0.672,Fully protected,"34,667.00",51587.79762,3984.8315,,,,,,,,,,,
WR03,Olango Island,Philippines,Maintenance,pa/km2,40,Partially protected,"172,240.00","4,306.00",3984.8315,,,,,,,,,,,
WR03,Gilutongan Island,Philippines,Maintenance,pa/km2,0.15,Partially protected,"5,897.55","39,317.00",3984.8315,,,,,,,,,,,
WR03,Gilutongan Island,Philippines,Enforcement,pa,0.15,Partially protected,"9,361.00",62406.66667,3984.8315,,,,,,,,,,,
CLS11,San Miguel Island fishery reserve,Philippines,Maintenance,pa,2.25,Partially protected,"3,626.00",1611.555556,3984.831539,,,,,,,,,,,
E14,South Coast Marine Conservation Area,St Vincent & the Granadines,Maintenance,pa,3.2698,Partially protected,2185395,668357.3919,"11,501.20",,,,,,,,,,,
MA20,Palau Rendang MPA,Terenggau (Malaysia),Maintenance,pa,24.8358,Partially protected,1249561,50312.89509,11867.25864,,,,,,,,,,,
M07,Dhigali Haa,Maldives,Maintenance,pa,1.25,Partially protected,168017,134413.6,13215.53536,,,,,,,,,,,
